iter	Passed	Remaining
0	83	83171
1	84	42098
2	85	28376
3	86	21436
4	86	17253
5	88	14602
6	89	12638
7	89	11136
8	90	9942
9	90	9001
10	91	8220
11	92	7609
12	93	7107
13	94	6657
14	95	6262
15	96	5926
16	97	5614
17	97	5344
18	98	5091
19	99	4879
20	100	4675
21	101	4495
22	101	4318
23	102	4155
24	102	4006
25	103	3867
26	103	3740
27	104	3624
28	104	3514
29	105	3415
30	106	3338
31	107	3265
32	108	3189
33	109	3122
34	110	3051
35	111	2980
36	112	2915
37	112	2852
38	113	2793
39	114	2742
40	114	2689
41	115	2637
42	116	2587
43	116	2537
44	117	2489
45	117	2444
46	118	2401
47	118	2359
48	119	2319
49	120	2281
50	121	2253
51	122	2225
52	122	2197
53	123	2167
54	124	2146
55	125	2119
56	126	2089
57	126	2059
58	127	2031
59	128	2005
60	128	1980
61	129	1958
62	130	1933
63	130	1909
64	131	1885
65	131	1862
66	132	1840
67	132	1819
68	133	1797
69	133	1777
70	134	1756
71	134	1737
72	135	1722
73	137	1714
74	137	1699
75	138	1687
76	139	1673
77	140	1658
78	140	1643
79	141	1628
80	142	1613
81	142	1599
82	143	1583
83	144	1572
84	144	1560
85	145	1547
86	146	1534
87	146	1522
88	147	1510
89	148	1497
90	148	1484
91	149	1472
92	149	1459
93	150	1452
94	151	1445
95	152	1437
96	153	1428
97	154	1420
98	155	1412
99	155	1402
100	156	1393
101	158	1391
102	159	1384
103	159	1376
104	160	1366
105	161	1357
106	161	1348
107	162	1340
108	162	1331
109	163	1323
110	164	1315
111	164	1306
112	165	1301
113	167	1298
114	167	1292
115	168	1286
116	169	1279
117	170	1273
118	171	1267
119	172	1261
120	172	1255
121	173	1248
122	174	1241
123	174	1234
124	175	1227
125	175	1219
126	176	1212
127	176	1205
128	177	1198
129	178	1191
130	178	1185
131	179	1178
132	180	1174
133	181	1174
134	182	1171
135	183	1167
136	184	1162
137	185	1158
138	186	1154
139	186	1148
140	187	1144
141	188	1137
142	188	1132
143	189	1126
144	190	1120
145	190	1115
146	191	1109
147	191	1104
148	192	1098
149	192	1093
150	193	1088
151	194	1082
152	194	1077
153	195	1073
154	196	1072
155	197	1069
156	198	1065
157	199	1061
158	199	1057
159	200	1053
160	201	1048
161	201	1044
162	202	1040
163	203	1036
164	204	1032
165	204	1028
166	205	1023
167	205	1019
168	206	1014
169	206	1010
170	207	1006
171	208	1002
172	208	998
173	209	994
174	209	989
175	211	988
176	212	986
177	212	983
178	213	981
179	214	977
180	215	975
181	216	972
182	217	969
183	217	965
184	218	963
185	219	959
186	219	955
187	220	952
188	221	949
189	222	946
190	222	943
191	223	940
192	224	937
193	224	934
194	226	933
195	227	932
196	228	930
197	229	928
198	229	925
199	230	922
200	231	919
201	232	916
202	232	913
203	233	909
204	233	906
205	234	903
206	234	900
207	235	896
208	236	893
209	236	890
210	237	887
211	237	884
212	238	881
213	239	878
214	239	875
215	240	872
216	241	871
217	242	870
218	243	868
219	244	866
220	245	863
221	245	861
222	246	859
223	247	857
224	248	854
225	248	852
226	249	850
227	250	847
228	250	844
229	251	842
230	252	839
231	252	836
232	253	834
233	254	832
234	254	829
235	255	827
236	257	827
237	257	826
238	258	824
239	259	822
240	260	820
241	261	818
242	261	816
243	262	813
244	263	811
245	263	808
246	264	805
247	264	803
248	265	800
249	266	798
250	266	795
251	267	793
252	267	790
253	268	788
254	268	785
255	269	783
256	270	781
257	270	778
258	271	778
259	273	777
260	273	775
261	274	773
262	275	771
263	276	769
264	276	767
265	277	765
266	278	763
267	278	761
268	279	759
269	280	757
270	280	755
271	281	753
272	282	751
273	282	749
274	283	747
275	284	745
276	284	743
277	285	741
278	285	738
279	287	739
280	288	738
281	289	736
282	290	735
283	291	733
284	291	731
285	292	730
286	293	728
287	293	726
288	294	724
289	294	722
290	295	719
291	296	717
292	296	715
293	297	713
294	297	711
295	298	709
296	298	707
297	299	705
298	300	703
299	300	701
300	301	699
301	302	698
302	303	697
303	304	696
304	304	694
305	305	693
306	306	691
307	307	690
308	307	688
309	308	686
310	308	684
311	309	682
312	309	680
313	310	678
314	311	676
315	311	674
316	312	672
317	312	671
318	313	669
319	314	667
320	314	665
321	315	663
322	315	661
323	316	659
324	316	658
325	318	657
326	319	656
327	319	655
328	320	654
329	321	652
330	322	651
331	322	649
332	323	647
333	324	646
334	324	644
335	325	642
336	325	640
337	326	639
338	326	637
339	327	635
340	328	634
341	328	632
342	329	630
343	329	628
344	330	627
345	330	625
346	331	623
347	331	621
348	332	621
349	333	620
350	334	618
351	335	617
352	336	615
353	336	614
354	337	613
355	338	611
356	338	610
357	339	608
358	340	607
359	340	605
360	341	604
361	341	602
362	342	601
363	343	599
364	343	598
365	344	596
366	345	595
367	345	594
368	346	592
369	347	591
370	348	590
371	349	590
372	350	588
373	351	588
374	352	586
375	352	585
376	353	584
377	354	583
378	355	581
379	355	580
380	356	579
381	357	577
382	358	576
383	358	575
384	359	574
385	360	573
386	360	571
387	361	570
388	362	569
389	363	568
390	364	567
391	365	566
392	366	566
393	367	564
394	368	563
395	368	562
396	369	561
397	370	560
398	371	558
399	371	557
400	372	556
401	373	555
402	373	553
403	374	552
404	375	550
405	375	549
406	376	548
407	377	547
408	378	546
409	379	546
410	380	545
411	381	544
412	382	544
413	383	543
414	384	542
415	385	541
416	386	540
417	387	539
418	387	537
419	388	536
420	389	535
421	389	534
422	390	533
423	391	531
424	392	530
425	393	530
426	394	529
427	395	528
428	396	527
429	397	526
430	398	525
431	399	524
432	399	523
433	400	522
434	401	521
435	401	519
436	402	518
437	403	517
438	404	516
439	404	515
440	405	513
441	406	512
442	406	511
443	407	510
444	408	509
445	409	509
446	410	508
447	411	507
448	412	506
449	413	505
450	414	504
451	415	503
452	416	502
453	416	501
454	417	499
455	417	498
456	418	497
457	418	495
458	419	494
459	420	493
460	420	491
461	421	490
462	421	489
463	422	488
464	423	486
465	424	486
466	425	485
467	426	484
468	426	483
469	427	482
470	428	480
471	428	479
472	429	478
473	430	477
474	430	475
475	431	474
476	431	473
477	432	472
478	432	470
479	433	469
480	434	468
481	434	467
482	435	465
483	435	464
484	436	463
485	436	462
486	437	460
487	437	459
488	438	458
489	439	457
490	440	456
491	441	455
492	442	454
493	442	453
494	443	452
495	444	451
496	444	450
497	445	449
498	446	447
499	446	446
500	447	445
501	447	444
502	448	442
503	448	441
504	449	440
505	449	439
506	450	438
507	451	436
508	451	435
509	452	434
510	452	433
511	453	432
512	454	431
513	455	430
514	456	429
515	456	428
516	457	427
517	458	426
518	459	425
519	459	424
520	460	423
521	460	422
522	461	420
523	462	419
524	462	418
525	463	417
526	463	416
527	464	415
528	464	413
529	465	412
530	465	411
531	466	410
532	467	409
533	467	408
534	468	406
535	468	405
536	469	404
537	470	404
538	471	403
539	472	402
540	473	401
541	473	400
542	474	399
543	475	398
544	475	397
545	476	396
546	477	395
547	477	393
548	478	392
549	478	391
550	479	390
551	479	389
552	480	388
553	481	387
554	481	386
555	482	385
556	482	383
557	483	382
558	484	381
559	484	381
560	485	380
561	486	379
562	487	378
